model,rNA,parameter,estimate,lbound,ubound
dam_ane,0,A,0.26469,0.20835,0.31973
dam_ane,0,N,0.08016,0.01749,0.14388
dam_ane,0,E,0.65515,0.62396,0.6876
dam_ane,0.01,A,0.2632,0.20578,0.31925
dam_ane,0.01,N,0.08165,0.01781,0.1466
dam_ane,0.01,E,0.65515,0.62396,0.6876
dam_ane,0.02,A,0.26166,0.20311,0.31876
dam_ane,0.02,N,0.08319,0.01814,0.14941
dam_ane,0.02,E,0.65515,0.62396,0.6876
dam_ane,0.03,A,0.26006,0.20032,0.31826
dam_ane,0.03,N,0.08479,0.01848,0.15235
dam_ane,0.03,E,0.65515,0.62396,0.6876
dam_ane,0.04,A,0.25839,0.19741,0.31774
dam_ane,0.04,N,0.08646,0.01884,0.1554
dam_ane,0.04,E,0.65515,0.62396,0.6876
dam_ane,0.05,A,0.25665,0.19437,0.31721
dam_ane,0.05,N,0.0882,0.01921,0.15858
dam_ane,0.05,E,0.65515,0.62396,0.6876
dam_ane,0.06,A,0.25485,0.19119,0.31666
dam_ane,0.06,N,0.09,0.01959,0.1619
dam_ane,0.06,E,0.65515,0.62396,0.6876
dam_ane,0.07,A,0.25296,0.18787,0.3161
dam_ane,0.07,N,0.09189,0.02,0.16537
dam_ane,0.07,E,0.65515,0.62396,0.6876
dam_ane,0.08,A,0.251,0.18438,0.31553
dam_ane,0.08,N,0.09385,0.02042,0.16899
dam_ane,0.08,E,0.65515,0.62396,0.6876
dam_ane,0.09,A,0.24894,0.18073,0.31493
dam_ane,0.09,N,0.09591,0.02085,0.17279
dam_ane,0.09,E,0.65515,0.62396,0.6876
dam_ane,0.1,A,0.2468,0.17689,0.31432
dam_ane,0.1,N,0.09805,0.02131,0.17676
dam_ane,0.1,E,0.65515,0.62396,0.6876
dam_ane,0.11,A,0.24455,0.17286,0.31368
dam_ane,0.11,N,0.1003,0.02179,0.18093
dam_ane,0.11,E,0.65515,0.62396,0.6876
dam_ane,0.12,A,0.24219,0.16862,0.31303
dam_ane,0.12,N,0.10266,0.02228,0.18531
dam_ane,0.12,E,0.65515,0.62396,0.6876
dam_ane,0.13,A,0.23972,0.16415,0.31235
dam_ane,0.13,N,0.10513,0.02281,0.18991
dam_ane,0.13,E,0.65515,0.62396,0.6876
dam_ane,0.14,A,0.23712,0.15943,0.31165
dam_ane,0.14,N,0.10773,0.02335,0.19476
dam_ane,0.14,E,0.65515,0.62396,0.6876
dam_ane,0.15,A,0.23439,0.15444,0.31092
dam_ane,0.15,N,0.11046,0.02393,0.19988
dam_ane,0.15,E,0.65515,0.62396,0.6876
dam_ane,0.16,A,0.23151,0.14916,0.31016
dam_ane,0.16,N,0.11334,0.02453,0.20529
dam_ane,0.16,E,0.65515,0.62396,0.6876
dam_ane,0.17,A,0.22847,0.14356,0.30937
dam_ane,0.17,N,0.11638,0.02517,0.21102
dam_ane,0.17,E,0.65515,0.62396,0.6876
dam_ane,0.18,A,0.22526,0.13761,0.30855
dam_ane,0.18,N,0.11959,0.02583,0.2171
dam_ane,0.18,E,0.65515,0.62396,0.6876
dam_ane,0.19,A,0.22186,0.13128,0.3077
dam_ane,0.19,N,0.12299,0.02654,0.22356
dam_ane,0.19,E,0.65515,0.62396,0.6876
dam_ane,0.2,A,0.21826,0.12452,0.3068
dam_ane,0.2,N,0.12659,0.02728,0.23044
dam_ane,0.2,E,0.65515,0.62396,0.6876
dam_ane,0.21,A,0.21443,0.11729,0.30586
dam_ane,0.21,N,0.13042,0.02807,0.23779
dam_ane,0.21,E,0.65515,0.62396,0.6876
dam_ane,0.22,A,0.21035,0.10954,0.30487
dam_ane,0.22,N,0.13449,0.02891,0.24567
dam_ane,0.22,E,0.65515,0.62396,0.6876
dam_ane,0.23,A,0.206,0.10119,0.30384
dam_ane,0.23,N,0.13885,0.0298,0.25413
dam_ane,0.23,E,0.65515,0.62396,0.6876
dam_ane,0.24,A,0.20135,0.09219,0.30275
dam_ane,0.24,N,0.1435,0.03074,0.26325
dam_ane,0.24,E,0.65515,0.62396,0.6876
